concepto_turistico,total_nacional,comunidades_y_ciudades_autonomas,residencia_del_viajero,periodo,total
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2019-11-01,7000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2019-10-01,33000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2019-09-01,62000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2019-08-01,69000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2019-07-01,66000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2019-06-01,60000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2019-05-01,41000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2019-04-01,34000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2019-03-01,12000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2019-02-01,8000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2019-01-01,7000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2018-12-01,9000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2018-11-01,8000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2018-10-01,33000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2018-09-01,61000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2018-08-01,64000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2018-07-01,64000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2018-06-01,58000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2018-05-01,40000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2018-04-01,28000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2018-03-01,14000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2018-02-01,6000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Total ,2018-01-01,5000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2023-09-01,
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2023-08-01,
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2023-07-01,
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2023-06-01,15000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2023-05-01,8000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2023-04-01,8000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2023-03-01,3000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2023-02-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2023-01-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2022-12-01,4000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2022-11-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2022-10-01,6000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2022-09-01,15000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2022-08-01,20000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2022-07-01,19000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2022-06-01,17000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2022-05-01,9000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2022-04-01,7000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2022-03-01,3000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2022-02-01,3000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2022-01-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2021-12-01,3000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2021-11-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2021-10-01,7000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2021-09-01,15000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2021-08-01,25000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2021-07-01,21000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2021-06-01,14000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2021-05-01,5000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2021-04-01,3000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2021-03-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2021-02-01,1000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2021-01-01,
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2020-12-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2020-11-01,1000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2020-10-01,4000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2020-09-01,13000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2020-08-01,22000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2020-07-01,13000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2020-06-01,4000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2020-05-01,
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2020-04-01,
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2020-03-01,1000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2020-02-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2020-01-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2019-12-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2019-11-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2019-10-01,5000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2019-09-01,11000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2019-08-01,15000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2019-07-01,13000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2019-06-01,12000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2019-05-01,6000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2019-04-01,5000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2019-03-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2019-02-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2019-01-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2018-12-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2018-11-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2018-10-01,5000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2018-09-01,12000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2018-08-01,14000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2018-07-01,12000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2018-06-01,11000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2018-05-01,7000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2018-04-01,4000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2018-03-01,4000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2018-02-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en España,2018-01-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2023-09-01,
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2023-08-01,
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2023-07-01,
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2023-06-01,49000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2023-05-01,41000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2023-04-01,35000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2023-03-01,12000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2023-02-01,6000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2023-01-01,4000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2022-12-01,6000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2022-11-01,6000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2022-10-01,35000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2022-09-01,55000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2022-08-01,55000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2022-07-01,58000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2022-06-01,51000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2022-05-01,42000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2022-04-01,34000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2022-03-01,11000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2022-02-01,6000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2022-01-01,3000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2021-12-01,6000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2021-11-01,6000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2021-10-01,30000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2021-09-01,36000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2021-08-01,38000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2021-07-01,40000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2021-06-01,23000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2021-05-01,19000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2021-04-01,7000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2021-03-01,4000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2021-02-01,
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2021-01-01,
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2020-12-01,1000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2020-11-01,1000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2020-10-01,4000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2020-09-01,7000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2020-08-01,19000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2020-07-01,19000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2020-06-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2020-05-01,
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2020-04-01,
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2020-03-01,3000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2020-02-01,6000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2020-01-01,4000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2019-12-01,6000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2019-11-01,5000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2019-10-01,29000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2019-09-01,51000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2019-08-01,54000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2019-07-01,53000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2019-06-01,48000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2019-05-01,35000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2019-04-01,29000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2019-03-01,10000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2019-02-01,6000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2019-01-01,6000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2018-12-01,7000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2018-11-01,6000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2018-10-01,28000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2018-09-01,49000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2018-08-01,51000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2018-07-01,52000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2018-06-01,47000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2018-05-01,34000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2018-04-01,24000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2018-03-01,10000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2018-02-01,4000.0
Número de alojamientos turísticos ocupados,Total Nacional,"04 Balears, Illes",Residentes en el Extranjero,2018-01-01,4000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2023-09-01,
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2023-08-01,
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2023-07-01,
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2023-06-01,62000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2023-05-01,65000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2023-04-01,82000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2023-03-01,98000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2023-02-01,88000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2023-01-01,93000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2022-12-01,113000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2022-11-01,108000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2022-10-01,90000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2022-09-01,88000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2022-08-01,101000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2022-07-01,94000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2022-06-01,73000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2022-05-01,73000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2022-04-01,91000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2022-03-01,99000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2022-02-01,88000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2022-01-01,80000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2021-12-01,89000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2021-11-01,91000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2021-10-01,80000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2021-09-01,70000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2021-08-01,89000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2021-07-01,75000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2021-06-01,46000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2021-05-01,46000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2021-04-01,39000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2021-03-01,39000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2021-02-01,28000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2021-01-01,28000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2020-12-01,44000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2020-11-01,33000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2020-10-01,37000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2020-09-01,42000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2020-08-01,70000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2020-07-01,53000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2020-06-01,16000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2020-05-01,4000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2020-04-01,2000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2020-03-01,38000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2020-02-01,80000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2020-01-01,78000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2019-12-01,84000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2019-11-01,79000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2019-10-01,69000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2019-09-01,67000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2019-08-01,79000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2019-07-01,68000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2019-06-01,54000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2019-05-01,55000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2019-04-01,69000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2019-03-01,86000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2019-02-01,78000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2019-01-01,88000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2018-12-01,84000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2018-11-01,79000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2018-10-01,70000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2018-09-01,65000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2018-08-01,76000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2018-07-01,66000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2018-06-01,52000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2018-05-01,49000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2018-04-01,58000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2018-03-01,83000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2018-02-01,71000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Total ,2018-01-01,79000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2023-09-01,
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2023-08-01,
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2023-07-01,
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2023-06-01,31000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2023-05-01,27000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2023-04-01,34000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2023-03-01,24000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2023-02-01,18000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2023-01-01,18000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2022-12-01,28000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2022-11-01,26000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2022-10-01,33000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2022-09-01,43000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2022-08-01,59000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2022-07-01,53000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2022-06-01,37000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2022-05-01,31000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2022-04-01,37000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2022-03-01,23000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2022-02-01,19000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2022-01-01,18000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2021-12-01,24000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2021-11-01,22000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2021-10-01,31000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2021-09-01,38000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2021-08-01,58000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2021-07-01,49000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2021-06-01,29000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2021-05-01,23000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2021-04-01,19000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2021-03-01,19000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2021-02-01,11000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2021-01-01,10000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2020-12-01,17000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2020-11-01,14000.0
Número de alojamientos turísticos ocupados,Total Nacional,05 Canarias,Residentes en España,2020-10-01,24000.0
